Control ID,HIPAA Safeguard Category,Safeguard Area,Security Objective,Current State,Status,Risk Level,Evidence Expected,Recommended Action
HIP-001,Administrative,Security Risk Analysis,Identify risks to the confidentiality integrity and availability of ePHI,A risk assessment exists but is not updated on a consistent schedule,Partial,High,Risk analysis report and risk register,Perform and document a formal risk analysis at least annually and after major changes
HIP-002,Administrative,Risk Management,Reduce identified security risks to reasonable and appropriate levels,Risk treatment actions are tracked inconsistently,Partial,High,Risk treatment plan and remediation records,Create a formal risk treatment process with owners timelines and closure evidence
HIP-003,Administrative,Assigned Security Responsibility,Assign responsibility for HIPAA security oversight,A security lead exists but responsibilities are not fully documented,Partial,Medium,Security role description and responsibility matrix,Document HIPAA security ownership and responsibilities
HIP-004,Administrative,Workforce Security,Ensure workforce access is appropriate based on job duties,Role-based access is implemented but recurring reviews are inconsistent,Partial,High,Access review reports and approval records,Perform quarterly workforce access reviews
HIP-005,Administrative,Information Access Management,Limit access to ePHI based on minimum necessary principles,Access controls exist but some permissions are broader than required,Partial,High,Role matrix access approvals and review records,Review ePHI access and remove unnecessary permissions
HIP-006,Administrative,Security Awareness and Training,Provide recurring security awareness training to workforce members,Annual security training is provided,Implemented,Low,Training completion reports,Continue annual HIPAA security awareness training and phishing simulations
HIP-007,Administrative,Security Incident Procedures,Maintain procedures for identifying and responding to security incidents,An incident response plan exists but tabletop testing is inconsistent,Partial,High,Incident response plan and tabletop exercise reports,Conduct annual incident response tabletop exercises
HIP-008,Administrative,Contingency Planning,Maintain backup disaster recovery and emergency operations procedures,Backups and recovery plans exist but testing is inconsistent,Partial,Medium,Backup logs disaster recovery plan and test reports,Perform recurring contingency and recovery exercises
HIP-009,Administrative,Evaluation,Periodically evaluate the effectiveness of security controls,Security reviews occur but are not formally scheduled,Partial,Medium,Security assessment reports and review calendar,Establish a recurring HIPAA security evaluation schedule
HIP-010,Administrative,Business Associate Management,Ensure vendors handling ePHI are appropriately evaluated,Business associate agreements exist but recurring security reviews are inconsistent,Partial,High,BAAs vendor questionnaires and reassessment records,Perform annual security reviews of high-risk business associates
HIP-011,Physical,Facility Access Controls,Limit physical access to systems containing ePHI,Cloud providers manage most physical access controls,Not Tested,Medium,Cloud provider physical security reports and attestations,Review provider physical security documentation
HIP-012,Physical,Workstation Security,Protect workstations that access ePHI,Endpoint protection and screen-lock policies are implemented,Implemented,Low,Endpoint policy and workstation configuration evidence,Continue monitoring workstation security compliance
HIP-013,Physical,Device and Media Controls,Control disposal and reuse of devices and media containing ePHI,Disposal procedures exist but evidence is incomplete,Partial,Medium,Device disposal logs and media sanitization records,Document secure disposal and media sanitization evidence
HIP-014,Technical,Access Control,Restrict access to ePHI systems to authorized users,Role-based access controls are implemented,Implemented,Low,Access control configuration and user access records,Continue periodic access validation
HIP-015,Technical,Unique User Identification,Assign unique user IDs for accountability,Unique user accounts are required,Implemented,Low,Identity records and user account inventory,Continue enforcing unique user identification
HIP-016,Technical,Emergency Access Procedure,Ensure authorized emergency access to ePHI is available,Emergency access procedures exist but testing is limited,Partial,Medium,Emergency access procedures and test evidence,Test emergency access procedures annually
HIP-017,Technical,Audit Controls,Record and examine activity in systems containing ePHI,Centralized logging is enabled,Implemented,Low,SIEM dashboards audit logs and log source inventory,Continue monitoring audit log collection
HIP-018,Technical,Audit Log Review,Review security and access logs for suspicious activity,Logs are collected but review evidence is inconsistent,Partial,Medium,Log review records and incident tickets,Document recurring audit-log reviews and investigations
HIP-019,Technical,Integrity,Protect ePHI from improper alteration or destruction,System controls and backups support integrity protection,Implemented,Low,Integrity controls change logs and backup evidence,Continue monitoring data integrity controls
HIP-020,Technical,Person or Entity Authentication,Verify the identity of users accessing ePHI,MFA is enabled for some privileged and remote accounts but not all,Partial,High,MFA configuration and authentication policy,Require MFA for all privileged and remote access accounts
HIP-021,Technical,Transmission Security,Protect ePHI transmitted across networks,Encryption is used for data in transit,Implemented,Low,TLS configuration and network security documentation,Maintain approved encryption standards
