Risk ID,Risk Description,HIPAA Safeguard Category,Safeguard Area,Likelihood,Impact,Risk Score,Risk Rating,Existing Control,Control Gap,Recommended Remediation
HIP-R-001,Unauthorized access to ePHI due to excessive permissions,Administrative,Information Access Management,3,5,15,High,Role-based access controls are implemented,Some users retain broader access than necessary,Perform quarterly access reviews and enforce minimum necessary access
HIP-R-002,Former employee retains access to ePHI systems,Administrative,Workforce Security,3,5,15,High,Employee offboarding process exists,Access removal is not always validated promptly,Automate account disablement and review terminated-user access
HIP-R-003,Business associate compromise exposes ePHI,Administrative,Business Associate Management,3,5,15,High,Business Associate Agreements exist,Recurring security reassessments are inconsistent,Perform annual security reviews of high-risk business associates
HIP-R-004,Incident response failure delays containment of ePHI breach,Administrative,Security Incident Procedures,3,4,12,High,Incident response plan exists,Tabletop exercises are not performed consistently,Conduct annual incident response exercises and document lessons learned
HIP-R-005,Incomplete HIPAA security risk analysis misses new threats,Administrative,Security Risk Analysis,3,4,12,High,A security risk assessment exists,Risk analysis is not updated consistently,Perform formal risk analysis annually and after significant changes
HIP-R-006,Security risks remain unresolved due to weak remediation tracking,Administrative,Risk Management,3,4,12,High,Risk treatment activities occur informally,Owners timelines and closure evidence are inconsistent,Create formal risk treatment tracking with assigned owners and due dates
HIP-R-007,Backup restoration failure prevents access to ePHI,Administrative,Contingency Planning,2,5,10,Medium,Backups and recovery plans exist,Restore testing is inconsistent,Perform quarterly backup restoration testing and document recovery results
HIP-R-008,Suspicious access to ePHI goes undetected,Technical,Audit Log Review,2,4,8,Medium,Centralized audit logging is enabled,Recurring log review evidence is incomplete,Document recurring audit-log reviews and retain investigation records
HIP-R-009,Compromised credentials allow unauthorized remote or privileged access,Technical,Person or Entity Authentication,3,5,15,High,MFA is enabled for some accounts,MFA is not enforced for all privileged and remote access,Require MFA for all privileged and remote access accounts
HIP-R-010,Improper device disposal exposes residual ePHI,Physical,Device and Media Controls,2,4,8,Medium,Device disposal procedures exist,Sanitization evidence is incomplete,Maintain disposal logs and media sanitization records
HIP-R-011,Emergency access procedures fail during a disruption,Technical,Emergency Access Procedure,2,4,8,Medium,Emergency access procedures exist,Procedures are not tested regularly,Test emergency access procedures annually
HIP-R-012,Inadequate physical security assurance at cloud provider,Physical,Facility Access Controls,2,4,8,Medium,Cloud provider manages physical security,Provider physical security reports have not been formally reviewed,Review cloud provider attestations and compliance reports
HIP-R-013,Outdated security controls remain undetected,Administrative,Evaluation,2,4,8,Medium,Security reviews occur periodically,Formal evaluation schedule is missing,Establish recurring HIPAA security evaluations
HIP-R-014,Loss of ePHI integrity due to unauthorized alteration,Technical,Integrity,2,5,10,Medium,Integrity controls and backups exist,Integrity monitoring is not independently reviewed,Review integrity controls and change records periodically
