Gap ID,HIPAA Safeguard Category,Safeguard Area,Current State,Gap Identified,Risk Level,Business Impact,Recommended Remediation,Priority,Target Timeline,Status
HIP-GAP-001,Administrative,Security Risk Analysis,A risk assessment exists but is not updated on a consistent schedule,The organization does not perform a formally documented recurring HIPAA security risk analysis,High,New threats or weaknesses affecting ePHI may not be identified in a timely manner,Perform and document a formal risk analysis annually and after significant environmental changes,High,30 Days,Open
HIP-GAP-002,Administrative,Risk Management,Risk treatment actions are tracked inconsistently,Identified security risks are not consistently assigned owners or tracked through closure,High,Security weaknesses may remain unresolved and continue to expose ePHI,Create a formal risk treatment process with owners timelines status and closure evidence,High,30 Days,Open
HIP-GAP-003,Administrative,Assigned Security Responsibility,A security lead exists but responsibilities are not fully documented,HIPAA security accountability is not formally defined across key activities,Medium,Unclear ownership may delay decisions remediation or incident response,Document security roles responsibilities and accountable owners,Medium,60 Days,Open
HIP-GAP-004,Administrative,Workforce Security,Role-based access is implemented but recurring reviews are inconsistent,Workforce access to ePHI is not recertified on a consistent schedule,High,Employees may retain access that is no longer required for their job duties,Perform quarterly workforce access reviews and remove unnecessary permissions,High,30 Days,Open
HIP-GAP-005,Administrative,Information Access Management,Access controls exist but some permissions are broader than required,Minimum necessary access is not consistently enforced,High,Excessive access increases the potential impact of account compromise or insider misuse,Review ePHI access and reduce permissions to the minimum necessary,High,30 Days,Open
HIP-GAP-006,Administrative,Security Incident Procedures,An incident response plan exists but tabletop testing is inconsistent,Incident procedures are not regularly validated through exercises,High,The organization may respond slowly or inconsistently during an ePHI security incident,Conduct annual incident response tabletop exercises and track corrective actions,High,60 Days,Open
HIP-GAP-007,Administrative,Contingency Planning,Backups and recovery plans exist but testing is inconsistent,Recovery procedures are not validated on a recurring schedule,Medium,ePHI systems or data may not be recoverable during a disruption or ransomware incident,Perform recurring backup restoration disaster recovery and emergency operations exercises,Medium,90 Days,Open
HIP-GAP-008,Administrative,Evaluation,Security reviews occur but are not formally scheduled,Periodic HIPAA security evaluations are not consistently documented,Medium,Control weaknesses or compliance gaps may remain undetected,Establish a recurring HIPAA security evaluation schedule and retain assessment evidence,Medium,90 Days,Open
HIP-GAP-009,Administrative,Business Associate Management,Business associate agreements exist but recurring security reviews are inconsistent,High-risk business associates are not consistently reassessed,High,Third-party security weaknesses could expose ePHI,Perform annual security reassessments of high-risk business associates and track findings,High,60 Days,Open
HIP-GAP-010,Physical,Facility Access Controls,Cloud providers manage most physical access controls,Physical security documentation from cloud providers has not been formally reviewed,Medium,The organization may lack assurance that systems hosting ePHI are physically protected,Review provider physical security attestations and compliance reports,Medium,90 Days,Open
HIP-GAP-011,Physical,Device and Media Controls,Disposal procedures exist but evidence is incomplete,Secure disposal and media sanitization are not consistently documented,Medium,Residual ePHI may remain on retired devices or media,Maintain device disposal logs and media sanitization evidence,Medium,60 Days,Open
HIP-GAP-012,Technical,Emergency Access Procedure,Emergency access procedures exist but testing is limited,Emergency access to ePHI has not been regularly validated,Medium,Authorized users may be unable to access critical information during emergencies,Test emergency access procedures annually and document results,Medium,90 Days,Open
HIP-GAP-013,Technical,Audit Log Review,Logs are collected but review evidence is inconsistent,Recurring review of audit logs is not consistently documented,Medium,Suspicious access to ePHI may go undetected,Document recurring audit-log reviews investigations and escalation records,Medium,60 Days,Open
HIP-GAP-014,Technical,Person or Entity Authentication,MFA is enabled for some privileged and remote accounts but not all,Strong authentication is not enforced consistently for high-risk access,High,Compromised credentials may allow unauthorized access to ePHI,Require MFA for all privileged and remote access accounts,High,30 Days,Open
